reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,5,0.16261450000456534,,0.051459900016197935,0.16261450000456534,1.0054396000050474,1.0054396000050474,1.1722424000035971,1.6069788000022527,t,0.5975128000136465,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
49,60,89,0,1,1,4,1.6591331000090577,,1.6470364000124391,1.6591331000090577,2.655897200020263,2.655897200020263,2.672226499998942,2.907233100006124,l,0.24031950000789948,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
11,30,7,0,2,2,0,2.9216285000147764,,2.908041500020772,2.9216285000147764,3.9221279000048526,3.9221279000048526,3.9221279000048526,4.093154600006528,t,0.1656449000001885,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
40,55,62,0,3,3,3,4.122836200025631,,4.094007400010014,4.122836200025631,5.105605500022648,5.105605500022648,5.122271300002467,5.307251500023995,l,0.19568780000554398,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
78,80,162,0,4,4,6,5.321507000015117,,5.30805830002646,5.321507000015117,6.305187100020703,6.305187100020703,6.322450200008461,6.605456400022376,l,0.28909390000626445,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
15,35,13,0,5,5,1,6.6211367000069,,6.60580220000702,6.6211367000069,7.621309700014535,7.621309700014535,7.621309700014535,7.873805400013225,t,0.24427819999982603,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
27,50,21,0,6,6,2,7.887535600020783,,7.874501600017538,7.887535600020783,8.891422000015154,8.891422000015154,8.891422000015154,9.124124200025108,t,0.22577560000354424,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
27,50,21,1,0,7,2,9.138401000003796,,9.125046100001782,9.138401000003796,10.138345900020795,10.138345900020795,10.138345900020795,10.33972139999969,l,0.19820319997961633,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
15,35,13,1,1,8,1,10.353569300001254,,10.340558600000804,10.353569300001254,11.35400320001645,11.35400320001645,11.35400320001645,11.388844900007825,t,0.0199099000019487,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
49,60,89,1,2,9,4,11.403509299998404,,11.389719099999638,11.403509299998404,12.403787600022042,12.403787600022042,12.403787600022042,12.505344400007743,t,0.08480609999969602,None,062550,001,2024-11-18_11h10.01.041,Delay Discounting Task,2024.1.5,None,2024-11-18 11h10.08.238099 +0530,
